"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","dropoff_datetime","pickup_datetime","passenger_count","trip_distance"
"-73.982669999999999","40.777152999999998","-73.945357999999999","40.830070999999997","2014-01-06T00:04:01.000","2014-01-05T23:49:35.000","2","4.2999999999999998"
"-73.996701999999999","40.725636000000002","-73.980536000000001","40.730217000000003","2014-01-06T00:04:02.000","2014-01-05T23:57:07.000","1","1.6000000000000001"
"-73.980058","40.780580999999998","-73.968186000000003","40.796497000000002","2014-01-06T00:04:03.000","2014-01-06T00:00:43.000","1","1.2"
"-73.983242000000004","40.738734000000001","-73.943838999999997","40.721623999999998","2014-01-06T00:04:04.000","2014-01-05T23:50:16.000","1","4.7000000000000002"
"-73.972829000000004","40.756067999999999","-73.982969999999995","40.769387999999999","2014-01-06T00:04:06.000","2014-01-05T23:54:39.000","1","1.5"
"-73.933063000000004","40.737341000000001","-74.000465000000005","40.757655","2014-01-06T00:04:06.000","2014-01-05T23:49:45.000","1","4"
"-73.999290000000002","40.728310999999998","-73.967414000000005","40.764304000000003","2014-01-06T00:04:06.000","2014-01-05T23:52:50.000","2","3.3999999999999999"
"-73.986322999999999","40.730383000000003","-73.975018000000006","40.729982999999997","2014-01-06T00:04:08.000","2014-01-05T23:59:41.000","1","0.90000000000000002"
"-73.982478","40.762352","-73.928263000000001","40.755682","2014-01-06T00:04:08.000","2014-01-05T23:52:02.000","1","3.5"
"-73.985508999999993","40.735463000000003","-73.965198999999998","40.763424000000001","2014-01-06T00:04:08.000","2014-01-05T23:55:18.000","1","2.1000000000000001"
"-73.961675999999997","40.764150000000001","-73.978508000000005","40.741086000000003","2014-01-06T00:04:08.000","2014-01-05T23:59:41.000","1","1.8"
"-74.001058","40.725884999999998","-73.961658","40.761102999999999","2014-01-06T00:04:09.000","2014-01-05T23:52:07.000","1","3.8999999999999999"
"-73.986722999999998","40.725684000000001","-74.000489000000002","40.737403","2014-01-06T00:04:09.000","2014-01-05T23:56:02.000","1","1.7"
"-73.974815000000007","40.680486000000002","-73.957488999999995","40.732059","2014-01-06T00:04:09.000","2014-01-05T23:49:07.000","2","5.7000000000000002"
"-73.968044000000006","40.801264000000003","-73.952905999999999","40.767896999999998","2014-01-06T00:04:11.000","2014-01-05T23:45:48.000","1","3.2999999999999998"
"-73.996328000000005","40.738118999999998","-73.994560000000007","40.750279999999997","2014-01-06T00:04:11.000","2014-01-06T00:00:17.000","1","1.1000000000000001"
"-73.991331000000002","40.744796999999998","-73.979338999999996","40.752986999999997","2014-01-06T00:04:12.000","2014-01-06T00:00:25.000","1","1.1000000000000001"
"-73.984183000000002","40.764831999999998","-73.982431000000005","40.779840999999998","2014-01-06T00:04:12.000","2014-01-05T23:57:58.000","1","1.1000000000000001"
"-73.873091000000002","40.773927999999998","-73.991433000000001","40.767690000000002","2014-01-06T00:04:12.000","2014-01-05T23:41:58.000","2","9.9000000000000004"
